lsoa11cd,pop_adjusted_beds
E01000001,0.095432075
E01000002,0.110068041
E01000003,0.099965885
E01000005,0.203752106
E01000006,0.188873532
E01000007,0.317705371
E01000008,0.579049649
E01000009,0.1998421
E01000010,0.302170098
E01000011,0.224105385
E01000012,0.34029616
E01000013,0.164099875
E01000014,0.172865344
E01000015,0.162977286
E01000016,0.177620138
E01000017,0.187629916
E01000018,0.173403756
E01000019,0.209351685
E01000020,0.134478518
E01000021,0.204714333
E01000022,0.237567468
E01000023,0.180440315
E01000024,0.232692189
E01000025,0.198988942
E01000027,0.12955987
E01000028,0.132877332
E01000029,0.069135282
E01000030,0.134995834
E01000031,0.103192855
E01000032,0.113985626
E01000033,0.150611612
E01000034,0.092548585
E01000035,0.125023178
E01000036,0.205361409
E01000037,0.111689945
E01000038,0.110043021
E01000039,0.117821511
E01000040,0.15807869
E01000041,0.193053349
E01000042,0.254008372
E01000043,0.192527256
E01000044,0.235145599
E01000045,0.219946082
E01000046,0.177651397
E01000048,1.412115155
E01000049,0.380254279
E01000050,0.195587074
E01000051,0.875815671
E01000052,0.160724551
E01000053,0.168015951
E01000054,0.141883152
E01000055,0.169946237
E01000056,0.168839886
E01000057,0.211450525
E01000058,0.198140422
E01000059,0.135953203
E01000060,0.12975811
E01000061,0.291787747
E01000062,0.111320151
E01000063,0.149171854
E01000064,0.102891857
E01000065,0.110526611
E01000066,0.1633832
E01000067,0.142193625
E01000068,0.213250263
E01000069,0.143333667
E01000070,0.123947023
E01000071,0.117366177
E01000072,0.160567098
E01000073,0.166173265
E01000074,0.220195313
E01000075,0.143183629
E01000076,0.145379461
E01000077,0.197417086
E01000078,0.15728736
E01000079,0.134573274
E01000080,0.216779632
E01000081,0.148693998
E01000082,0.147813181
E01000083,0.172724404
E01000084,0.191673572
E01000085,0.155562974
E01000086,0.225987261
E01000087,0.161219678
E01000088,0.128851511
E01000089,0.200840148
E01000090,0.203731733
E01000091,0.233635809
E01000092,0.130689556
E01000093,0.255279006
E01000094,0.393640191
E01000095,0.241035078
E01000096,0.356011523
E01000097,0.116471691
E01000098,0.194800624
E01000099,0.169114747
E01000100,0.184735579
E01000101,0.177756361
E01000102,0.162924051
E01000103,0.195278665
E01000104,0.186848668
E01000105,0.132378335
E01000106,0.140556635
E01000107,0.112029986
E01000108,0.156515205
E01000109,0.137615543
E01000110,0.155508303
E01000111,0.125847096
E01000112,0.140111053
E01000113,0.163877305
E01000114,0.134837749
E01000115,0.111435612
E01000116,0.111101709
E01000117,0.08434131
E01000118,0.093787351
E01000119,0.098232253
E01000120,0.11704648
E01000121,0.169924335
E01000122,0.146159471
E01000123,0.148761342
E01000124,0.182021915
E01000125,0.093882731
E01000126,0.183439383
E01000127,0.201058602
E01000128,0.154402134
E01000129,0.154808907
E01000130,0.198156483
E01000131,0.127335781
E01000132,0.222587068
E01000133,0.176339248
